UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage ,Event Source,Event Souce ID,year
UEI-IMD-FL-2016-0052,2016-05-08,2016-05-08,0,Heavy rains & Landslide,,"Kathua, Reasi ",JAMMU & KASHMIR,,,,,5.0,9.0,,,Total 5 persons died. 4 persons including 3 pilgrims of Mata Vaisho Devi died & 9 others injured due to landslide in Reasi Dist. While one engineer washed away in Kathua Dist. ,,IMD,,2016
UEI-IMD-FL-2016-0053,2016-06-08,2016-07-08,30,Heavy rains & Cloud brust,,"Doda, Kathua, Pulwama ",JAMMU & KASHMIR,,,,,2.0,7.0,,,2 persons died & 7 other injured,Damage to several houses reported,IMD,,2016
UEI-IMD-FL-2016-0054,2016-08-24,2016-08-24,0,Flash Flood in Tawi river & Landslide,,"Jammu, Reasi ",JAMMU & KASHMIR,,,,,3.0,,,,Total 3 persons died. 2 persons washed away in Tawi river in Jammu Dist. One CRPF man died in Reasi Dist,,IMD,,2016
UEI-IMD-FL-2016-0055,2016-03-07,2016-05-07,61,Heavy rain,,"Chatra, Garhwa, Hazaribagh, Ramgarh, Ranchi (Jharkhand) ",JHARKHAND,,,,,2.0,,,,2 person died,i)Damage to 1008 Katcha houses reported. ii) Damage to some small bridges reported. iii) Vehicles washed away.,IMD,,2016
UEI-IMD-FL-2016-0056,2016-03-08,2016-03-08,0,Heavy rain,,Ramgarh,JHARKHAND,,,,,1.0,11.0,,2.0,"One person died, 11 others injured & 2 cattle heads perished",,IMD,,2016
UEI-IMD-FL-2016-0057,2016-12-08,2016-12-08,0,Heavy rain,,East Singhbhum ,JHARKHAND,,,,,4.0,,,,4 persons died in Jameshedpur,Damage to 3 bridges reported,IMD,,2016
UEI-IMD-FL-2016-0058,2016-08-16,2016-08-18,2,Heavy rain,,"Chatra, Garhwa, Hazaribagh, Khunti,  Ranchi ",JHARKHAND,,,,,9.0,,,,9 persons died & other injured,i) Damage to 4 bridges & 8 katcha houses reported. ii) 100 trees uprooted.,IMD,,2016
UEI-IMD-FL-2016-0059,2016-08-22,2016-08-23,1,Heavy rain,,"Garhwa, Hazaribagh, Khunti,  Ranchi ",JHARKHAND,,,,,,,,,One cattle heads perished. ,i) Damage to 2 bridges reported. ii) Damage to many katcha houses reported,IMD,,2016
UEI-IMD-FL-2016-0060,2016-09-09,2016-12-09,91,Heavy rain,,"Chatra, Hazaribagh, Khunti, Ranchi ",JHARKHAND,,,,,1.0,7.0,,,"One person died, 7 others injured & 4 cattle heads perished.",i) Damage to standing crops reported. ii) Damage to 10 mud houses reported. ,IMD,,2016
UEI-IMD-FL-2016-0061,2016-09-10,2016-09-10,0,Heavy rain,,"Chatra, Hazaribag",JHARKHAND,,,,,1.0,,,4.0,One person died & 4 cattle heads perished. ,One bridge washed away,IMD,,2016
UEI-IMD-FL-2016-0062,2016-06-20,2016-06-20,0,Heavy rain,,Raichur,KARNATAKA,,,,,1.0,,,,girl died,,IMD,,2016
UEI-IMD-FL-2016-0063,2016-06-22,2016-06-22,0,Heavy rain,,"Dakshina Kannada, Udupi",KARNATAKA,,,,,2.0,,,,2 persons died,,IMD,,2016
UEI-IMD-FL-2016-0064,2016-06-27,2016-06-27,0,Heavy rain,,Dakshina Kannada,KARNATAKA,,,,,1.0,,,,man died,,IMD,,2016
UEI-IMD-FL-2016-0065,2016-03-07,2016-06-07,92,Heavy rain,,"Dakshina Kannada, Uttara Kannada",KARNATAKA,,,,,,,,1.0,cow perished,i) Damage to many houses reported. ii) Several trees uprooted.,IMD,,2016
UEI-IMD-FL-2016-0066,2016-11-07,2016-12-07,30,Heavy rain,,"Belgaum, Chikkamagalur, Kodagu, Uttar Kanada",KARNATAKA,,,,,1.0,4.0,,,One person died  in Chikkamagalur Dist. &  4 persons injured in Kodagu Dist,i) Damage of about 90 houses fully & 200 houses partially reported. ii) Several trees/electric poles uprooted causing vehicular traffic & power supply disruption.,IMD,,2016
UEI-IMD-FL-2016-0067,2016-07-15,2016-07-15,0,Heavy rain,,Bagalkot,KARNATAKA,,,,,,,,,,i) 2 villages named Mutturu & Kanankanvadi in Jamakhandi taluk submerged as water was released following heavy rains in Maharashtra & Belgaum Dist.  ii) Vegetables grown on hundreds of acers completely washed away. iii) Quarry cement factory flooded,IMD,,2016
UEI-IMD-FL-2016-0068,2016-07-22,2016-07-22,0,Heavy rain,,"Gulbarga, Uttar Kanada",KARNATAKA,,,,,1.0,,,6.0,"One person drowned in Mullamari river Iragapali village, Chincholi taluk in Gulbarga Dist. 6 livestock perished.",i) Damage to standing crops reported ii) Damage to 20 irrigation pumps set reported. iii) Partial damage to 279 houses reported iv) Damage to Govt. School building reported as a huge tree fell.  ,IMD,,2016
UEI-IMD-FL-2016-0069,2016-07-29,2016-07-29,0,Heavy rain,,Banglore,KARNATAKA,,,,,,,,,,i) About 3000 houses affected. ii) Damage to few cars & two-wheelers reported.,IMD,,2016
UEI-IMD-FL-2016-0070,2016-07-31,2016-07-31,0,Heavy rain,,Gulbarga,KARNATAKA,,,,,,,,,,i) Hundreds acres of crops washed away. ii) Damage to historic Hazrat Safdar Darga reported.,IMD,,2016
UEI-IMD-FL-2016-0071,2016-05-08,2016-09-08,123,Heavy rains & Floods in Krishna river,,"Bagalkot, Belgaum, Raichur, Yadgir ",KARNATAKA,,,,,1.0,,,,One boatman washed away in Raichur Dist.,"i) Extensive damage to standing crops of Toor, Cotton reported. ii) Several villages on Krishna river bank inundated. iii) Bridges inundated in Belgaum & Raichur Dist.",IMD,,2016
UEI-IMD-FL-2016-0072,2016-08-18,2016-08-18,0,Heavy rain,,Hassan,KARNATAKA,,,,,,,,,,Agricultural crops worth lakhs of rupees destroyed.,IMD,,2016
UEI-IMD-FL-2016-0073,2016-09-15,2016-09-16,1,Heavy rain,,"Bidar, Gulbarga, Raichur ",KARNATAKA,,,,,2.0,,,,2 persons died.,i) Damage to 500 acres of crops reported. ii) Human life disrupted.  iii) Partial damage to more than 29 houses reported.,IMD,,2016
UEI-IMD-FL-2016-0074,2016-09-22,2016-09-26,4,Heavy rain,,"Bidar, Gulbarga, Raichur ",KARNATAKA,,,,,1.0,,,,One boy drowned in Bidar Dist,"i) Damage to 84,991 hectares standing crops reported. ii) Damage to as many as 2900 houses reported",IMD,,2016
UEI-IMD-FL-2016-0075,2016-12-13,2016-12-14,1,Heavy rain,,"Hassan , Kodagu, Mysore ",KARNATAKA,,,,,,,,,,Coffee & Paddy harvest affected badly,IMD,,2016
UEI-IMD-FL-2016-0076,2016-04-14,2016-04-14,0,Heavy rain,,Kannur ,KERALA,,,,,2.0,,,,2 persons died as compound wall collapsed on them.,Partial damage to one house reported.,IMD,,2016
UEI-IMD-FL-2016-0077,2016-05-31,2016-05-31,0,Heavy rain,,Kozhikode,KERALA,,,,,1.0,,,,One person died due to wall collapsed,12 feet high compound wall collapsed.,IMD,,2016
UEI-IMD-FL-2016-0078,2016-07-06,2016-09-06,62,"Heavy rains, flood  & Landslides",,"Idukki,  Kottayam, Thiruvananthapuram, Wayanad ",KERALA,,,,,1.0,,,,"One person died & other injured in Idukki Dist. due to landslide on 7th June. One person injured in Sreekaryam in Thiruvananthapuram Dist. One person died as a huge rock fell over him in Wayanad Dist, on 8th June. ","Idukki : Complete damage to a house reported, Kottayam :   i) One Anganvadi building collapsed in Thazhangadi.  ii) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply, Thiruvananthapuram :  i) Damage to vegetable crops reported as fields submerged. ii) 3 wells caved in. iii) Damage to more than 25 houses including house-hold appliances, Taluka office, dispensary, shop & a compound wall of a school   reported.  iv) More than 11 KV line broke & functioning of 4 transformers disrupted. v) In Kazhakootam, nearby houses inundated as Tettayar river flooded, Wayanad :  A house completely damaged as a huge rock fell from 50 feet. ",IMD,,2016
UEI-IMD-FL-2016-0079,2016-10-06,2016-06-13,Diffing the dates,Heavy rain,,"Idukki,  Kannur, Kollam, Pathanamthitta,  Thiruvananthapuram, Wayanad",KERALA,,,,,4.0,1.0,,,One person injured in each Idukki & Pathanamthitta Dist. 2 persons including a child died in Kannur Dist. One person injured in Thiruvananthapuram Dist.,"Idukki  & Pathanamthitta :  15 houses completely & 128 houses partially damaged, Kannur :  730 mts. long & 71/2 feet high compound wall of a house damaged, Kollam :  i) 9 houses completely, 134 partially & several cowsheds damaged. ii) Several houses inundated. iii) Many electric cable lines broke, Thiruvananthapuram :  i) Extensive damage to agricultural crops, vegetables, Banana crops, Tapioca reported.  ii) Rs.7.25 lakhs worth damage reported. iii) 210 Rubber trees & 150 Banana plants & 7 electric posts uprooted in Pothencode area. iv) Low lying areas inundated. v) Well caved in. vi) Damage to vehicles reported. vii) 12 houses completely & 22 partially damaged. Roofs of many houses blown away. viii) Side wall of a bridge collapsed. ix)  Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply, Wayanad  :  One house completely damaged.",IMD,,2016
UEI-IMD-FL-2016-0080,2016-06-16,2016-06-19,3,Heavy rain,,"Alappuzha, Ernakulam, Idukki, Kollam, Kottayam, Malappuram, Thrissur, Thiruvananthapuram, Wayanad ",KERALA,,,,,,,,,Several students injured in Kuttanam in Alappuza Dist,"Alappuzha : i) 33 houses completely, 38 partially & one Anganwadi damaged. ii) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply, Ernakulam, Idukki, Kollam, Kottayam, Malappuram, Thrissur: Damage to total 175 houses reported, Ernakulam - 28 completely ;  Idukki - 7 completely & 69 partially;  Kollam - 11 completely ;  Kottayam - 55 completely ;  Malappuram - 1 completely ;  Thrissur - 4 completely damaged, Thiruvananthapuram : i) Damage to 1.53 hectares of vegetable crops, 1.25 lakh banana crops reported. ii) More than 35 houses completely & more than 430 houses partially damaged.  iii) Loss of worth Rs.10.1 crores damage reported. iv) Damage to 1.53 hectares of vegetable crops, 1.25 lakh banana crops reported v) Crores worth damage reported by KSEB as more than 2000 electric poles, one transformer 11 KV line, 50 electric cable lines damaged. vi) 30 families shifted to relief camps from Pallichal area. vii) Damage to 122 mts. Long Akashwani tower reported. viii)  Damage to an Auto-rikshaw reported. viii)Several trees uprooted causing disruption in vehicular traffic. Wayanad: i) 4 houses partially damaged. ii) Several trees uprooted causing disruption in vehicular traffic.",IMD,,2016
UEI-IMD-FL-2016-0081,2016-06-26,2016-06-29,3,Heavy rain,,"Kasragod, Malappuram, Wayanad",KERALA,,,,,,,,,"20 hectares of agriculture land belonging to 157 farmers damaged causing loss of worth crores. Paddy, Ginger, Banana Damage to crops reported. ii) 52 families from different areas shifted to relief camps. iii) 4 wells caved in. iv) Full damage to 2 houses & partial damage to 106 houses reported. Also damage to 3 rooms of Higher Secondary School building reported. v) Low lying areas inundated. vi) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply",,IMD,,2016
UEI-IMD-FL-2016-0082,2016-02-07,2016-02-07,0,Heavy Rain,,Wanayad,KERALA,,,,,,,,,,i) Damage to 69 hectares agriculture crops reported due to which 444 farmers affected. ii) 22 houses fully & 65 partially damaged.   iii) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply,IMD,,2016
UEI-IMD-FL-2016-0083,2016-10-07,2016-07-15,Diffing the dates,Heavy Rain,,"Idukki, Kasaragod, Wanayad",KERALA,,,,,1.0,,,,One person died in Kasaragod Dist. & other injured in Idukki Dist.,"i) 4 houses, shop & five storied building under construction by the wayside of Kozikode-Mysore NH_212 collapsed.  ii) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply.",IMD,,2016
UEI-IMD-FL-2016-0084,2016-09-18,2016-09-18,0,Landslide,,Kozhikode,KERALA,,,,,6.0,,,,6 students died.,,IMD,,2016
UEI-IMD-FL-2016-0085,2016-06-30,2016-06-30,0,Floods & Heavy rains,,Bhopal,MADHYA PRADESH,,,,,1.0,,,,One person drown,,IMD,,2016
UEI-IMD-FL-2016-0086,2016-06-07,2016-06-07,0,Floods & Heavy rains,,"Rewa, Sehore ",MADHYA PRADESH,,,,,6.0,,,,"6 person died Rewa ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 5, Sehore - 1",,IMD,,2016
UEI-IMD-FL-2016-0087,2016-07-07,2016-07-07,0,Flood in Tamas river,,"Bhind, Panna, Rewa ",MADHYA PRADESH,,,,,3.0,,,,3 persons died,i) Damage to 2 dams reported. ii) More than 50 villages in Tyonthar and Sirmaur blocks of Rewa Dist. cut off from the other parts of the state due to rising water in the river ,IMD,,2016
UEI-IMD-FL-2016-0088,2016-08-07,2016-10-07,61,Floods & Heavy rains,,"Bhopal, Damoh, Malda, Morena, Seoni",MADHYA PRADESH,,,,,11.0,,,,11 persons died,The excessive rains have affected at least 3 lakh 46 thousand people,IMD,,2016
UEI-IMD-FL-2016-0089,2016-02-08,2016-02-08,0,Heavy rains,,Vidisha,MADHYA PRADESH,,,,,4.0,,,,4 persons died,,IMD,,2016
UEI-IMD-FL-2016-0090,2016-08-19,2016-08-20,1,Floods & Heavy rains,,"Raisen, Rewa, Sagar, Satna, Vidisha",MADHYA PRADESH,,,,,23.0,,,,23 persons died,"i) More than one lakh people affected. ii) Damage to many houses, Cow-sheds reported. iii) Bridge washed away",IMD,,2016
UEI-IMD-FL-2016-0091,2016-05-21,2016-05-21,0,Heavy rain,,"Bhandara, Gadchiroli, Gondia ",MAHARASHTRA,,,,,2.0,1.0,,100.0,i)2 person died & one girl injured due to wall collapsed in Gondia Dist. ii) 100 hens perished.,i) Damage to 568 houses reported. ii) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply.,IMD,,2016
UEI-IMD-FL-2016-0092,2016-06-06,2016-06-06,0,Heavy rain,,Parts of Maharashtra,MAHARASHTRA,,,,,2.0,,,,2 persons died.,,IMD,,2016
UEI-IMD-FL-2016-0093,2016-06-20,2016-06-20,0,Heavy rain,,Mumbai,MAHARASHTRA,,,,,1.0,,,,One person died.,22 trees uprooted causing disruption in vehicular traffic. ,IMD,,2016
UEI-IMD-FL-2016-0094,2016-06-25,2016-06-25,0,Heavy rain,,Mumbai,MAHARASHTRA,,,,,2.0,,,,2 persons died,,IMD,,2016
UEI-IMD-FL-2016-0095,2016-01-07,2016-03-07,60,Heavy rain,,"Ahmednagar, Dhule, Jalgaon, Mumbai, Nandurbar, Nashik, Pune",MAHARASHTRA,,,,,11.0,,,,11 person died,,IMD,,2016
UEI-IMD-FL-2016-0096,2016-08-07,2016-10-07,61,Heavy rain,,"Chandrapur, Gadchiroli, Nandurbar",MAHARASHTRA,,,,,9.0,2.0,,50.0,Total 9 persons died. 6 persons died in Chandrapur Dist. due to flood in Wainganga river. While 3 persons died & 2 others missing in Pachorabari village of Nandurbar Dist. 50 livestock perished,i) Damage to 200 houses reported. ii) Damage to railway track reported.,IMD,,2016
UEI-IMD-FL-2016-0097,2016-11-07,2016-12-07,30,Heavy rain,,Kolhapur & Konkan region,MAHARASHTRA,,,,,1.0,,,,One person died in Konkan region.,i) 31 roads including 22 main roads and 9 highways are completely under water in Kolhapur Dist.  ii) Around 80 villages lost contact from rest of the state in Konkan region.,IMD,,2016
UEI-IMD-FL-2016-0098,2016-12-07,2016-12-07,0,Heavy rain,,"Akola, Amravati, Chandrapur, Gadchiroli Yavotmal, Washim",MAHARASHTRA,,,,,2.0,,,,2 persons died,More than 100 villages marooned.,IMD,,2016
UEI-IMD-FL-2016-0099,2016-07-28,2016-07-28,0,Heavy rain,,"Akola, Amravati ",MAHARASHTRA,,,,,2.0,,,,2 persons died,Damage to many house,IMD,,2016
UEI-IMD-FL-2016-0100,2016-07-30,2016-07-31,1,Heavy rain,,Mumbai,MAHARASHTRA,,,,,1.0,4.0,,,One person died as tree fell on him & 4 others injured. ,i) Damage to Ground-plus-three structure building & security cabin reported. ii) A car & an auto-rickshaw damaged as tree fell on it.,IMD,,2016
UEI-IMD-FL-2016-0101,2016-01-08,2016-01-08,0,Heavy rain,,Thane,MAHARASHTRA,,,,,9.0,10.0,,,9 persons died & 10 others injured. ,i) Dilapidated building collapsed. ii) Water logging in low lying areas reported,IMD,,2016
UEI-IMD-FL-2016-0102,2016-02-08,2016-02-08,0,Flood in Godavari,,Nashik,MAHARASHTRA,,,,,,,,,5 persons drowned. ,,IMD,,2016
UEI-IMD-FL-2016-0103,2016-03-08,2016-03-08,0,Flood in Savitri River,,Raigad ,MAHARASHTRA,,,,,27.0,14.0,,,27 persons drowned & 14 others missing.,2 MSRTC (Maharashtra State Road transport Corporation) buses & several other vehicles washed away as a bridge on the Savitri River collapsed near Mahad in Raigad district of Maharashtra on Mumbai - Goa highway on 2nd August at late night,IMD,,2016
UEI-IMD-FL-2016-0104,2016-09-24,2016-09-26,2,Heavy rain & Flash Flood,,Parts of Maharashtra,MAHARASHTRA,,,,,2.0,,,,2 persons died,,IMD,,2016
UEI-IMD-FL-2016-0105,2016-02-10,2016-04-10,60,Heavy rain & Flash Flood,,"Beed, Latur, Osmanabad, Nanded in Marathwada region",MAHARASHTRA,,,,,5.0,,,36.0,5 persons drown & 36 animals perished,"About 50% of the Kharif crops viz. Soya bean, Cotton, tur and Jowar were damaged. Soya bean, which is one of the major crops of Marathwada, suffered a damage of about Rs.2500 crores over an area of about 15 lakh hectares.",IMD,,2016
UEI-IMD-FL-2016-0106,2016-05-23,2016-05-23,0,Landslide,,Aizwal,MIZORAM,,,,,3.0,1.0,,,3 persons died & one other injured,Airport approach road National Highway -54 remained closed,IMD,,2016
UEI-IMD-FL-2016-0107,2016-09-18,2016-09-18,0,Landslide,,Aizwal,MIZORAM,,,,,5.0,,,,5 persons died.,Roads blocked. Traffic & power supply disrupted,IMD,,2016
UEI-IMD-FL-2016-0108,2016-03-08,2016-08-08,153,Heavy rain,,"Koraput, Sambalpur ",MIZORAM,,,,,2.0,,,,"2 persons died, one in each dist ",,IMD,,2016
UEI-IMD-FL-2016-0109,2016-11-07,2016-11-07,0,Heavy rain,,Baran,RAJASTHAN,,,,,2.0,,,,2 persons drowned,10 villages from Alwar district & 36 villages from Baran districts cut off from nearby areas,IMD,,2016
UEI-IMD-FL-2016-0110,2016-07-15,2016-07-15,0,Heavy rain,,Jaipur,RAJASTHAN,,,,,1.0,,,,One child drowned,,IMD,,2016
UEI-IMD-FL-2016-0111,2016-07-28,2016-07-28,0,Heavy rain,,Ganganagar,RAJASTHAN,,,,,1.0,,,,One person drowned,,IMD,,2016
UEI-IMD-FL-2016-0112,2016-09-08,2016-08-13,Diffing the dates,Heavy rain,,"Barmer, Jodhpur, Kota ",RAJASTHAN,,,,,14.0,,,,"14 persons drowned. Barmer - 6, Jodhpur - 7,  Kota ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 1",,IMD,,2016
UEI-IMD-FL-2016-0113,2016-08-16,2016-08-20,4,Heavy rain,,"Baran, Jhalawar, Pali ",RAJASTHAN,,,,,11.0,,,,"Total 11 persons died in different incidents. Baran - 6, Jhalawar - 4,     Pali ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 1 ",House collapsed in Baran Dist,IMD,,2016
UEI-IMD-FL-2016-0114,2016-08-22,2016-08-30,8,Heavy rain,,"Sawai Madhopur, Sirohi, Udaipur",RAJASTHAN,,,,,6.0,,,,6 persons swept away,A car & a loaded tempo swept away. ,IMD,,2016
UEI-IMD-FL-2016-0115,2016-11-06,2016-06-13,Diffing the dates,Flood (Kuzhithurai and Sitraru rivers),,Kanyakumari,TAMIL NADU,,,,,3.0,,,,3 person died,Kulasekaram and Tiruvattar towns were inundated. ,IMD,,2016
UEI-IMD-FL-2016-0116,2016-07-26,2016-07-26,0,Heavy Rains,,Krishnagiri ,TAMIL NADU,,,,,2.0,,,,2 persons died in Hosur municipal corporation in  Krishnagiri Dist. ,,IMD,,2016
UEI-IMD-FL-2016-0117,2016-02-03,2016-02-03,0,Heavy rain,,"Karimnagar, Khammam, Nizamabad, Waranga",TELANGANA,,,,,,,,,,"Damage to 2585 hectares of Maize crops, 254 hectares of Banana crops & 350 Hectares of Chilli crops reported.",IMD,,2016
UEI-IMD-FL-2016-0118,2016-08-31,2016-08-31,0,Heavy rain,,Hyderabad,TELANGANA,,,,,7.0,,,,7 persons died due to wall collapse,i) Innundation of low lying areas. ii) Damage to thousands of cars reported. iii) Water logging in most parts of city causing traffic disruption,IMD,,2016
UEI-IMD-FL-2016-0119,2016-01-09,2016-09-30,265,Heavy rain,,"Hyderbad, Kamareddy, Karimnagar, Mahbubnagar, Medak, Medchal, Nalgonda,  Nizamabad, Sangareddy, Vikarabad, Warrangal, Yadadri",TELANGANA,,,,,49.0,,,,"Total 49 persons died & 9 others injured. 6733 animals perished. Hyderbad - 1, Kamareddy- 4, Karimnagar - 6, Mahbubnagar - 2, Medak - 4, Medchal - 6, Nalgonda - 2,  Nizamabad - 3,  Sangareddy- 16,  Vikarabad - 3, Warrangal - 1, Yadadri -1.",i) Damage to 2.60 lakh hectares of crops reported. ii) Damage to 37991 houses  reported. iii) Damage to 644 boats & 1493 nets reported. iv) Damage to roads reported. v) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply.,IMD,,2016
UEI-IMD-FL-2016-0120,2016-05-18,2016-05-18,0,Heavy rain,,North Tripura ,TRIPURA,,,,,,,,,,"i) About 50,000 peoples affected & shifted to relief camps. ii) The entire city Dharamnagar flooded. iii) All Offices, Schools, collages remained closed. iv) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply",IMD,,2016
UEI-IMD-FL-2016-0121,2016-12-03,2016-12-03,0,Heavy rain,,Meerut,UTTAR PRADESH,,,,,5.0,,,,5 persons died due to wall collapse,Exensive damage to building reported,IMD,,2016
UEI-IMD-FL-2016-0122,2016-01-07,2016-03-07,60,Heavy rain,,Parts of U.P. ,UTTAR PRADESH,,,,,26.0,,,,26 persons died,"Damage to Mango, Maize crops reported",IMD,,2016
UEI-IMD-FL-2016-0123,2016-07-18,2016-07-18,0,Heavy rain,,Parts of West U.P. ,UTTAR PRADESH,,,,,10.0,,,,10 persons died,"Damage to Mango, Maize crops reported",IMD,,2016
UEI-IMD-FL-2016-0124,2016-07-30,2016-07-30,0,Heavy rain,,Parts of West U.P. ,UTTAR PRADESH,,,,,3.0,,,,3 persons died,"Damage to Mango, Maize crops reported",IMD,,2016
UEI-IMD-FL-2016-0125,2016-08-16,2016-08-16,0,Heavy rain,,Parts of East U.P. ,UTTAR PRADESH,,,,,8.0,,,,8 persons died,Damage to crops reported,IMD,,2016
UEI-IMD-FL-2016-0126,2016-08-05,2016-08-05,0,Landslide,,Chamoli,UTTARAKHAND,,,,,,,,,,i) Damage to more than 10 houses reported. ii) Damage to more than half dozen vehicles reported. ,IMD,,2016
UEI-IMD-FL-2016-0127,2016-05-22,2016-05-22,0,Landslide,,Dehradun,UTTARAKHAND,,,,,10.0,5.0,,,10 labourers died & 5 other injured,,IMD,,2016
UEI-IMD-FL-2016-0128,2016-05-28,2016-05-28,0,Cloud Burst,,Tehri and Uttarkashi,UTTARAKHAND,,,,,5.0,,,,5 persons died,,IMD,,2016
UEI-IMD-FL-2016-0129,2016-03-07,2016-03-07,0,Cloud Burst,,"Chamoli, Pithoragarh ",UTTARAKHAND,,,,,20.0,12.0,,,20 persons died & 12 others missing. ,i) 150 families affected. ii) 4 houses fully & 12 houses partially damaged. ,IMD,,2016
UEI-IMD-FL-2016-0130,2016-07-16,2016-07-17,1,Heavy rains & Landslides,,"Dehradun, Nainital, Pauri, Tehri, Uttarkashi ",UTTARAKHAND,,,,,15.0,,,,15 persons died,"i) Rishikesh-Badrinath national highway and the Rishikesh - Kedarnath National Highway between Sonprayag and Gaurikund, remained cut off.  ii) Damage to several bridges across the state reported. ",IMD,,2016
UEI-IMD-FL-2016-0131,2016-07-21,2016-07-23,2,Landslide,,Dehradun,UTTARAKHAND,,,,,11.0,,,,11 persons died,,IMD,,2016
UEI-IMD-FL-2016-0132,2016-07-20,2016-07-20,0,Heavy rains & Landslides,,Darjeeling,WEST BENGAL,,,,,3.0,,,,3 persons died due to landslide,,IMD,,2016
UEI-IMD-FL-2016-0133,2016-07-24,2016-07-25,1,Flood,,"Alipurdusar, Cooch Behar, Darjeeling, Jalpaiguri ",WEST BENGAL,,,,,,,,,4 person dies,58000 people affected,IMD,,2016
UEI-IMD-FL-2016-0134,2016-08-17,2016-08-17,0,Heavy rains,,Kolkata,WEST BENGAL,,,,,3.0,15.0,,,3 persons died and 15 others injured,Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply,IMD,,2016
UEI-IMD-FL-2016-0135,2016-08-23,2016-08-29,6,Heavy rains & Flood in Mahananda river,,"Hooghly, Howrah ",WEST BENGAL,,,,,6.0,,,,5 persons died & one person drowned in Mahananda river of Malda Dist,"i) Extensive damage to the crops reported. ii) 5,550 families in 45 villages affected",IMD,,2016
UEI-IMD-FL-2014-0001,2014-02-05,2014-12-05,303,Heavy rains,,"Adilabad, Karimnagar, Khammam, Krishna, Kurnool, Medak, Mahaboobnagar, Nalgonda, Nizamabad, Ranagareddy, Warangal and WestGodavari",ANDHRA PRADESH,,,,,,,,86.0,86 livestock perished.,"i) Damage to crops in 2,037 hectares reported. ii) Damage to horticulture in 36,380 hectares reported. iii) Damage to 86 houses reported.",IMD,,2014
UEI-IMD-FL-2014-0002,2014-06-09,2014-09-09,92,Heavy rains,,East & West Godavari and Srikakulam,ANDHRA PRADESH,,,,,4.0,,,,4 persons died.,"Extensive damage to crops in 12,667 hectares reported",IMD,,2014
UEI-IMD-FL-2014-0003,2014-08-14,2014-08-18,4,Heavy rains,,East Siang and Lohit,ARUNACHAL PRADESH,,,,,1.0,,,,One person died in a landslide in EastSiang.,i) Extensive damage to standing crops reported. ii) A wooden bridge of Kadam river washed away disrupting communication along NH 52.,IMD,,2014
UEI-IMD-FL-2014-0004,2014-06-22,2014-06-28,6,Flood (Brahmaputra and its tributories),,"Darrang, Kamrup (Metro),Lakhimpur, Sonitpur and Udalguri",ASSAM,,,,,8.0,,,,8 persons died including 4 died in a landslide.,"i) Damage to standing crops reported. ii) About 24,393 people affected of 43 villages affected. iii) Landslide reported.",IMD,,2014
UEI-IMD-FL-2014-0005,2014-08-07,2014-10-07,61,Heavy rains,,Dhemaji,ASSAM,,,,,1.0,,,,One person died.,i) Damage to standing crops reported. ii) About 900 people of 100 villages affected.,IMD,,2014
UEI-IMD-FL-2014-0006,2014-07-14,2014-07-19,5,Heavy rains,,Sonitpur,ASSAM,,,,,1.0,,,,One person died.,i) About 10 villages affected.ii) Standing crops in 100 hectares damaged.iii) Due to beach embankment flash flood occurredin Gohpur Town causing extensive damage on19 Jul,IMD,,2014
UEI-IMD-FL-2014-0007,2014-07-23,2014-07-30,7,Flood (Singra and Soansiri rivers),,"Cachar, Lakhimpur and Sonitpur",ASSAM,,,,,16.0,,,,16 persons died out of which 5 others died in a massive landslide in Cacher Manipur boarder area.,"i) Extensive damage to the standing crops reported. ii) About 25,000 people of 1200 villages affected. iii) NH-52 beached at the two places.",IMD,,2014
UEI-IMD-FL-2014-0008,2014-08-15,2014-08-31,16,Flood (Brahmaputra and its tributories),,"Barpeta, Bongaigaon, Darrang, Dhemaji, Dhubri, Dibrugarh, Goalpara, Golaghat, Jorhat, Kamrup (Metro), Kokrajhar, Lakhimpur, Morigaon, Nagaon, Sibsagar and Sonitpur",ASSAM,,,,,20.0,,,,20 persons died.,"i) Extensive damage to the crops about 73,772,03  ha. crop land affected. ii) About 16,26,304 population affected. iii) About 430 sq. km. area of Kaziranga National Park and Pobitora wildlife sanctuary inundated.",IMD,,2014
